agency,carpark_id,address,lat,long,price,EV,price_weekend,weekdays_rate_1,weekdays_rate_2,saturday_rate,sunday_publicholiday_rate
LTA,Z0,25 Toa Payoh Lorong 8,1.3352533,103.8592453,Daily: $1.30 / 30 Mins,1,,Daily: $1.30 / 30 Mins,-,-,-
LTA,Z1,45 Burghley Drive,1.3600544,103.8598217,$0.018 /min,0,$0.018 /min,$0.018 /min,$0.018 /min,$0.018 /min,$0.018 /min
LTA,Z2,Ang Mo Kio Hub,1.36943465,103.84833397934707,Mon-Fri: $1.20 for 1st hr; $0.60 for sub. ½ hr or part thereof.,0,"Sat, Sun / Ph: $1.30 for 1st hr; $0.65 for sub. ½ hr or part thereof.",Mon-Fri: $1.20 for 1st hr; $0.60 for sub. ½ hr or part thereof.,-,"Sat, Sun / Ph: $1.30 for 1st hr; $0.65 for sub. ½ hr or part thereof.",Same as Saturday
LTA,Z3,Balestier Plaza,1.32572925,103.85038238947917,Daily: $1.12 per hr,1,,Daily: $1.12 per hr,-,-,-
LTA,Z4,Balestier Point,1.3223732,103.8520991,8am-10pm: $1.20 per hr,0,,8am-10pm: $1.20 per hr,Aft 10pm: $2 per entry,Same as wkdays,$2 per entry
LTA,Z5,Bras Basah Complex,1.296557,103.85364926480317,7am-5pm: $1 for ½ hr,0,,7am-5pm: $1 for ½ hr,5pm-1am: $0.50 for ½ hr,Same as wkdays,7am-1am: $0.50 for ½ hr
LTA,Z6,Causeway Point,1.4360830999999998,103.78600593742335,7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub.½ hr or part thereof.,1,7am-12 midnight: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub.½ hr or part thereof.,7am-10.30pm: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,7am-12 midnight: $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,Same as Saturday
LTA,Z7,Central Place,1.28471435,103.8520186540292,$1.80 for 1st hr; $0.85 for ½ hr,0,$1.80 for 1st hr; $0.85 for ½ hr,$1.80 for 1st hr; $0.85 for ½ hr,$1.80 for 1st hr; $0.85 for ½ hr,$1.80 for 1st hr; $0.85 for ½ hr,$2.50 per entry
LTA,Z8,City Square Mall,1.3113537,103.85657122520384,7am-6pm: $1.20 for 1st hr; $0.60 for sub. 30 mins or part thereof.,0,7am-6pm: $1.40 for 1st hr; $0.70 for sub. 30 mins; 6pm-3.30am: $3.50 per entry.,7am-6pm: $1.20 for 1st hr; $0.60 for sub. 30 mins or part thereof.,6pm-3.30am: $3 per entry.,7am-6pm: $1.40 for 1st hr; $0.70 for sub. 30 mins; 6pm-3.30am: $3.50 per entry.,Same as Saturday
LTA,Z9,Compass Point,1.3920336999999998,103.89495266211112,Daily(7am-11pm): $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,1,,Daily(7am-11pm): $1.20 for 1st hr or part thereof; $0.60 for sub. ½ hr or part thereof.,-,-,-
LTA,Z10,Goldhill Plaza,1.3176405,103.8430336,7am-5.30pm: $1.60 for 1st hr; $1 for sub. ½ hr,0,7am-5.30pm: $1 per hr; Aft 5.30pm: $2 per entry,7am-5.30pm: $1.60 for 1st hr; $1 for sub. ½ hr,5.30pm-12am: $2 per entry,7am-5.30pm: $1 per hr; Aft 5.30pm: $2 per entry,Same as Saturday
LTA,Z11,Heartland Mall,1.3594916499999998,103.88521771853723,7am-10.30pm: $1 per hr,0,,7am-10.30pm: $1 per hr,Aft 10.30pm: $2 per hr,Same as wkdays,Same as wkdays
URA,H0015,Hindoo Road,1.3081624,103.8544779,-,1,,-,-,-,
